Etichette di riga;Cella;Cella (Evaporatore);Freezer;Freezer  (Condensatore);Totale complessivo
2019-06-29T20:00:02+02:00;-13.19;-24.17;NaN;;-37.36
2019-06-29T20:00:03+02:00;NaN;;-17.86;35.25;17.39
2019-06-29T20:10:04+02:00;-13.27;-24.14;-16.8;34.89;-19.32
2019-06-29T20:20:03+02:00;-13.29;-24.2;-17.63;34.71;-20.41
2019-06-29T20:30:01+02:00;-13.33;-24.28;-17.36;35.04;-19.93
2019-06-29T20:40:01+02:00;-13.38;-24.34;-17.23;33.48;-21.47
2019-06-29T20:50:01+02:00;NaN;;-17.59;35.56;17.97
2019-06-29T20:50:02+02:00;-13.43;-24.36;NaN;;-37.79
2019-06-29T21:00:02+02:00;-13.47;-24.4;-17.15;33.6;-21.42
2019-06-29T21:10:01+02:00;-13.37;-23.66;-17.69;34.83;-19.89
2019-06-29T21:20:03+02:00;NaN;;-17.03;32.86;15.83
2019-06-29T21:20:04+02:00;-12.49;-14.15;NaN;;-26.64
2019-06-29T21:21:51+02:00;-7.63;NaN;;NaN;-7.63
2019-06-29T21:30:03+02:00;-8.69;-18.33;-13.82;31;-9.84
2019-06-29T21:40:01+02:00;NaN;;-10.94;36.18;25.24
2019-06-29T21:40:02+02:00;-12.34;-23.72;NaN;;-36.06
2019-06-29T21:50:04+02:00;-13.08;-24.26;-17.36;36.5;-18.2
2019-06-29T22:00:01+02:00;-13.24;-24.26;NaN;;-37.5
2019-06-29T22:00:03+02:00;NaN;;-17.45;33.98;16.53
2019-06-29T22:10:01+02:00;-13.3;-24.34;NaN;;-37.64
2019-06-29T22:10:02+02:00;NaN;;-17.72;34.74;17.02
2019-06-29T22:20:01+02:00;-13.31;-24.37;-16.63;32.5;-21.81
2019-06-29T22:30:02+02:00;-13.38;-24.3;-18.29;34.19;-21.78
2019-06-29T22:40:01+02:00;-13.43;-24.34;-16.3;32.49;-21.58
2019-06-29T22:50:02+02:00;NaN;;-18.51;34.56;16.05
2019-06-29T22:50:03+02:00;-13.56;-24.44;NaN;;-38
2019-06-29T23:00:02+02:00;NaN;;-16.3;32.97;16.67
2019-06-29T23:00:03+02:00;-13.54;-24.41;NaN;;-37.95
2019-06-29T23:10:01+02:00;NaN;;-18.53;34.02;15.49
2019-06-29T23:10:02+02:00;-13.49;-24.32;NaN;;-37.81
2019-06-29T23:20:01+02:00;-13.45;-24.28;-16.36;32.33;-21.76
2019-06-29T23:30:01+02:00;-13.49;-24.31;-18.59;33.15;-23.24
2019-06-29T23:40:02+02:00;-13.5;-24.31;-16.31;32.34;-21.78
2019-06-29T23:50:01+02:00;-13.6;-24.46;NaN;;-38.06
2019-06-29T23:50:02+02:00;NaN;;-18.49;33.9;15.41
2019-06-30T00:00:01+02:00;-13.47;-24.44;-16.3;32.52;-21.69
2019-06-30T00:01:32+02:00;-6.75;NaN;;NaN;-6.75
2019-06-30T00:10:01+02:00;-8.17;-21.73;-18.78;33.55;-15.13
2019-06-30T00:20:04+02:00;-12.07;-23.46;-16.09;32.07;-19.55
2019-06-30T00:30:01+02:00;-13.09;-24.02;NaN;;-37.11
2019-06-30T00:30:02+02:00;NaN;;-16.06;31.03;14.97
2019-06-30T00:40:01+02:00;-13.28;-24.29;-11.53;35.85;-13.25
2019-06-30T00:50:03+02:00;-13.61;-24.4;-16.88;36.29;-18.6
2019-06-30T01:00:04+02:00;NaN;;-17.41;33.56;16.15
2019-06-30T01:00:05+02:00;-13.69;-24.53;NaN;;-38.22
2019-06-30T01:10:01+02:00;NaN;;-17.65;34.3;16.65
2019-06-30T01:10:02+02:00;-13.81;-24.63;NaN;;-38.44
2019-06-30T01:20:01+02:00;-13.7;-24.66;-16.68;31.76;-23.28
2019-06-30T01:30:02+02:00;-12.88;-17.33;-18.19;33.64;-14.76
2019-06-30T01:34:07+02:00;-7.88;NaN;;NaN;-7.88
2019-06-30T01:40:01+02:00;NaN;;-16.29;31.34;15.05
2019-06-30T01:40:02+02:00;-9.15;-16.09;NaN;;-25.24
2019-06-30T01:50:02+02:00;-12.14;-23.66;-18.47;33.96;-20.31
2019-06-30T02:00:02+02:00;-13.28;-24.6;-16.24;31.55;-22.57
2019-06-30T02:10:03+02:00;-13.55;-24.77;-18.6;32.46;-24.46
2019-06-30T02:20:03+02:00;-13.61;-24.85;-16.24;30.96;-23.74
