i	T	C	F	CS	FS
000117	03/07/2019 11:00:04	-13,22	-17,95		
000118	03/07/2019 11:10:01	-8,81	-17,28	CSPIKE	
000119	03/07/2019 11:20:02	-12,32	-16,66		
000120	03/07/2019 11:30:01	-12,82	-16,36		
000121	03/07/2019 11:30:02	-13,22	-18,04		
000122	03/07/2019 11:40:03	-12,96	-16,72		
000123	03/07/2019 11:50:01	-13,01	-17,40		
000124	03/07/2019 12:00:02	-13,01	-16,36		
000125	03/07/2019 12:00:03	-13,22	-17,73		
000126	03/07/2019 12:10:01	-13,08	-16,36		
000127	03/07/2019 12:10:02	-13,22	-17,80		
000128	03/07/2019 12:20:01	-13,22	-12,75		FSPIKE
000129	03/07/2019 12:20:02	-13,01	-16,36		
000130	03/07/2019 12:30:01	-12,97	-10,40		FSPIKE
000131	03/07/2019 12:40:02	-13,00	-17,85		
000132	03/07/2019 12:50:01	-12,09	-16,36		
000133	03/07/2019 12:50:02	-13,22	-16,80		
000134	03/07/2019 13:00:02	-12,19	-16,36		
000135	03/07/2019 13:00:03	-13,22	-15,81		
000136	03/07/2019 13:10:01	-11,57	-11,87		
000137	03/07/2019 13:20:01	-12,58	-17,50		
000138	03/07/2019 13:30:01	-13,37	-16,46		
000139	03/07/2019 13:40:01	-13,11	-17,75		
000140	03/07/2019 13:50:01	-12,95	-16,36		
000141	03/07/2019 13:50:02	-13,22	-16,92		
000142	03/07/2019 14:00:01	-13,22	-16,75		
000143	03/07/2019 14:00:03	-13,65	-16,36		
000144	03/07/2019 14:10:01	-13,81	-17,95		
000145	03/07/2019 14:20:02	-13,88	-16,75		
000146	03/07/2019 14:30:01	-13,22	-17,44		
000147	03/07/2019 14:30:02	-13,90	-16,36		
000148	03/07/2019 14:40:01	-13,89	-17,60		
000149	03/07/2019 14:50:01	-13,95	-16,51		
000150	03/07/2019 15:00:02	-13,87	-17,87		
000151	03/07/2019 15:10:01	-13,22	-17,08		
000152	03/07/2019 15:10:02	-12,95	-16,36		
000153	03/07/2019 15:20:01	-10,64	-14,97		
000154	03/07/2019 15:30:01	-13,82	-11,65	CSPIKE	FSPIKE
000155	03/07/2019 15:40:01	-13,22	-18,03		
000156	03/07/2019 15:40:02	-14,44	-16,36		
000157	03/07/2019 15:50:01	-14,44	-16,81		
000158	03/07/2019 16:00:01	-14,48	-17,57		
000159	03/07/2019 16:10:02	-14,53	-17,76		
000160	03/07/2019 16:20:01	-14,50	-16,36		
000161	03/07/2019 16:20:02	-13,22	-16,60		
000162	03/07/2019 16:30:01	-14,45	-17,99		
000163	03/07/2019 16:40:01	-14,48	-17,55		
000164	03/07/2019 16:50:02	-14,47	-16,74		
000165	03/07/2019 17:00:02	-13,22	-18,20		
000166	03/07/2019 17:00:03	-14,39	-16,36		
000167	03/07/2019 17:10:01	-13,22	-16,66		
000168	03/07/2019 17:10:02	-14,46	-16,36		
000169	03/07/2019 17:20:02	-14,41	-17,91		
000170	03/07/2019 17:30:01	-14,39	-16,36		
000171	03/07/2019 17:30:02	-13,22	-17,41		
000172	03/07/2019 17:40:01	-14,30	-16,36		
000173	03/07/2019 17:40:02	-13,22	-16,87		
000174	03/07/2019 17:50:01	-13,27	-18,02		
000175	03/07/2019 18:00:03	-13,03	-16,35		
000176	03/07/2019 18:10:01	-13,89	-18,23		
000177	03/07/2019 18:20:01	-14,16	-16,36		
